family_id,size,members
rescue-family-0001,1,0PV-a.01
rescue-family-0002,1,0PV-b.01
rescue-family-0003,1,0PV-c.01
rescue-family-0004,1,0PV-d.01
rescue-family-0005,1,1-79
rescue-family-0006,14,10-1121|10-1130|10-1146|10-1341|10-1369|10-259|10-303|10-410|10-847|10-996|PGT121|PGT122|PGT123|PGT124
rescue-family-0007,4,10E8|10E8v4|10E8v4-DS|7H6
rescue-family-0008,8,10J4|10M6|13I10|2N5|35O22|4O20|7B9|7K3
rescue-family-0009,2,12A12|12A21
rescue-family-0010,1,1357
rescue-family-0011,2,1361|1393A
rescue-family-0012,1,15e
rescue-family-0013,1,179NC75
rescue-family-0014,1,1B2530
rescue-family-0015,1,1NC9
rescue-family-0016,1,2158
rescue-family-0017,1,2219
rescue-family-0018,1,2408b
rescue-family-0019,1,2413b
rescue-family-0020,1,2413c
rescue-family-0021,1,2557
rescue-family-0022,1,2558
rescue-family-0023,1,2723-2121
rescue-family-0024,5,2723-3055|VRC08|VRC08c|VRC08d|VRC08e
rescue-family-0025,1,2723-3131
rescue-family-0026,25,2723-4186|DH651.1|DH651.2|DH651.3|DH651.4|DH651.5|DH651.6|DH651.7|NIH45-46|VRC01|VRC01 UCA|VRC01b|VRC01c|VRC01d|VRC01e|VRC01f|VRC01g|VRC01h|VRC01i|VRC02|VRC07b|VRC07c|VRC07d|VRC07e|VRC07f
rescue-family-0027,1,2C06
rescue-family-0028,1,2C09
rescue-family-0029,1,2F5
rescue-family-0030,1,3019
rescue-family-0031,1,3602-870
rescue-family-0032,1,3694
rescue-family-0033,1,3906
rescue-family-0034,1,3BC315
rescue-family-0035,2,3BNC117|3BNC60
rescue-family-0036,1,4022
rescue-family-0037,1,4025
rescue-family-0038,1,40591-a.01
rescue-family-0039,1,412d
rescue-family-0040,1,41328-a.01
rescue-family-0041,1,42056-a.01
rescue-family-0042,1,42056-b.01
rescue-family-0043,2,438-B11|438-D5
rescue-family-0044,1,447-52D
rescue-family-0045,1,44715-a.01
rescue-family-0046,1,48d
rescue-family-0047,2,561_01_18|561_01_55
rescue-family-0048,1,561_02_12
rescue-family-0049,1,5695-b.01
rescue-family-0050,1,6070-a.01
rescue-family-0051,1,654-D
rescue-family-0052,1,6561-a.01
rescue-family-0053,1,697-D
rescue-family-0054,1,830A
rescue-family-0055,2,8ANC131|8ANC134
rescue-family-0056,2,A12V163-a.01|A12V163-a.02
rescue-family-0057,1,A12V163-b.01
rescue-family-0058,1,A16
rescue-family-0059,1,ACS101
rescue-family-0060,1,ACS114
rescue-family-0061,1,ACS117
rescue-family-0062,1,ACS122
rescue-family-0063,1,ACS125
rescue-family-0064,1,ACS130
rescue-family-0065,1,ACS202
rescue-family-0066,1,AIIMS-P01
rescue-family-0067,1,Bess1
rescue-family-0068,1,Bess4
rescue-family-0069,2,BF520.1|Minimal BF520.1
rescue-family-0070,4,BG24|BG33|BG38|BG5
rescue-family-0071,1,BG505.13
rescue-family-0072,1,BG505.23
rescue-family-0073,1,BG505.25
